,itemname,kindname,countyname,marketname,yyyy,regday,price
0,[],[],평균,[],2000,01/03,410
1,[],[],평균,[],2000,01/04,410
2,[],[],평균,[],2000,01/05,410
3,[],[],평균,[],2000,01/06,410
4,[],[],평균,[],2000,01/07,410
5,[],[],평균,[],2000,01/08,410
6,[],[],평균,[],2000,01/10,410
7,[],[],평균,[],2000,01/11,410
8,[],[],평균,[],2000,01/12,410
9,[],[],평균,[],2000,01/13,410
10,[],[],평균,[],2000,01/14,410
11,[],[],평균,[],2000,01/15,410
12,[],[],평균,[],2000,01/17,410
13,[],[],평균,[],2000,01/18,410
14,[],[],평균,[],2000,01/19,410
15,[],[],평균,[],2000,01/20,410
16,[],[],평균,[],2000,01/21,410
17,[],[],평균,[],2000,01/22,410
18,[],[],평균,[],2000,01/24,410
19,[],[],평균,[],2000,01/25,410
20,[],[],평균,[],2000,01/26,410
21,[],[],평균,[],2000,01/27,410
22,[],[],평균,[],2000,01/28,410
23,[],[],평균,[],2000,01/29,410
24,[],[],평균,[],2000,01/31,410
25,[],[],평균,[],2000,02/01,410
26,[],[],평균,[],2000,02/02,410
27,[],[],평균,[],2000,02/03,410
28,[],[],평균,[],2000,02/07,410
29,[],[],평균,[],2000,02/08,410
30,[],[],평균,[],2000,02/09,410
31,[],[],평균,[],2000,02/10,410
32,[],[],평균,[],2000,02/11,410
33,[],[],평균,[],2000,02/12,410
34,[],[],평균,[],2000,02/14,410
35,[],[],평균,[],2000,02/15,410
36,[],[],평균,[],2000,02/16,410
37,[],[],평균,[],2000,02/17,410
38,[],[],평균,[],2000,02/18,410
39,[],[],평균,[],2000,02/19,410
40,[],[],평균,[],2000,02/21,410
41,[],[],평균,[],2000,02/22,410
42,[],[],평균,[],2000,02/23,410
43,[],[],평균,[],2000,02/24,410
44,[],[],평균,[],2000,02/25,410
45,[],[],평균,[],2000,02/26,410
46,[],[],평균,[],2000,02/28,410
47,[],[],평균,[],2000,02/29,480
48,[],[],평균,[],2000,03/02,480
49,[],[],평균,[],2000,03/03,500
50,[],[],평균,[],2000,03/04,500
51,[],[],평균,[],2000,03/06,500
52,[],[],평균,[],2000,03/07,550
53,[],[],평균,[],2000,03/08,600
54,[],[],평균,[],2000,03/09,600
55,[],[],평균,[],2000,03/10,650
56,[],[],평균,[],2000,03/11,650
57,[],[],평균,[],2000,03/13,650
58,[],[],평균,[],2000,03/14,650
59,[],[],평균,[],2000,03/15,650
60,[],[],평균,[],2000,03/16,700
61,[],[],평균,[],2000,03/17,700
62,[],[],평균,[],2000,03/18,700
63,[],[],평균,[],2000,03/20,700
64,[],[],평균,[],2000,03/21,700
65,[],[],평균,[],2000,03/22,700
66,[],[],평균,[],2000,03/23,700
67,[],[],평균,[],2000,03/24,700
68,[],[],평균,[],2000,03/25,700
69,[],[],평균,[],2000,03/27,700
70,[],[],평균,[],2000,03/28,700
71,[],[],평균,[],2000,03/29,700
72,[],[],평균,[],2000,03/30,700
73,[],[],평균,[],2000,03/31,700
74,[],[],평균,[],2000,04/01,700
75,[],[],평균,[],2000,04/03,700
76,[],[],평균,[],2000,04/04,700
77,[],[],평균,[],2000,04/06,700
78,[],[],평균,[],2000,04/07,700
79,[],[],평균,[],2000,04/08,700
80,[],[],평균,[],2000,04/10,700
81,[],[],평균,[],2000,04/11,700
82,[],[],평균,[],2000,04/12,700
83,[],[],평균,[],2000,04/14,700
84,[],[],평균,[],2000,04/15,700
85,[],[],평균,[],2000,04/17,700
86,[],[],평균,[],2000,04/18,750
87,[],[],평균,[],2000,04/19,750
88,[],[],평균,[],2000,04/20,750
89,[],[],평균,[],2000,04/21,750
90,[],[],평균,[],2000,04/22,750
91,[],[],평균,[],2000,04/24,750
92,[],[],평균,[],2000,04/25,750
93,[],[],평균,[],2000,04/26,750
94,[],[],평균,[],2000,04/27,750
95,[],[],평균,[],2000,05/02,700
96,[],[],평균,[],2000,05/03,700
97,[],[],평균,[],2000,05/04,700
98,[],[],평균,[],2000,05/06,600
99,[],[],평균,[],2000,05/08,550
100,[],[],평균,[],2000,05/09,550
101,[],[],평균,[],2000,05/10,550
102,[],[],평균,[],2000,05/12,550
103,[],[],평균,[],2000,05/13,520
104,[],[],평균,[],2000,05/15,500
105,[],[],평균,[],2000,05/16,500
106,[],[],평균,[],2000,05/17,500
107,[],[],평균,[],2000,05/18,500
108,[],[],평균,[],2000,05/19,500
109,[],[],평균,[],2000,05/20,450
110,[],[],평균,[],2000,05/22,400
111,[],[],평균,[],2000,05/23,350
112,[],[],평균,[],2000,05/24,300
113,[],[],평균,[],2000,05/25,300
114,[],[],평균,[],2000,05/26,300
115,[],[],평균,[],2000,05/27,280
116,[],[],평균,[],2000,05/29,260
117,[],[],평균,[],2000,05/30,280
118,[],[],평균,[],2000,05/31,280
119,[],[],평균,[],2000,06/01,280
120,[],[],평균,[],2000,06/02,280
121,[],[],평균,[],2000,06/03,280
122,[],[],평균,[],2000,06/05,280
123,[],[],평균,[],2000,06/07,280
124,[],[],평균,[],2000,06/08,280
125,[],[],평균,[],2000,06/09,270
126,[],[],평균,[],2000,06/10,270
127,[],[],평균,[],2000,06/12,270
128,[],[],평균,[],2000,06/13,250
129,[],[],평균,[],2000,06/14,250
130,[],[],평균,[],2000,06/15,250
131,[],[],평균,[],2000,06/16,250
132,[],[],평균,[],2000,06/17,250
133,[],[],평균,[],2000,06/19,250
134,[],[],평균,[],2000,06/20,250
135,[],[],평균,[],2000,06/21,280
136,[],[],평균,[],2000,06/22,280
137,[],[],평균,[],2000,06/23,280
138,[],[],평균,[],2000,06/24,300
139,[],[],평균,[],2000,06/26,300
140,[],[],평균,[],2000,06/27,330
141,[],[],평균,[],2000,06/28,330
142,[],[],평균,[],2000,06/29,330
143,[],[],평균,[],2000,06/30,330
144,[],[],평균,[],2000,07/01,330
145,[],[],평균,[],2000,07/03,330
146,[],[],평균,[],2000,07/04,330
147,[],[],평균,[],2000,07/05,330
148,[],[],평균,[],2000,07/06,330
149,[],[],평균,[],2000,07/07,330
150,[],[],평균,[],2000,07/08,330
151,[],[],평균,[],2000,07/10,330
152,[],[],평균,[],2000,07/11,330
153,[],[],평균,[],2000,07/12,330
154,[],[],평균,[],2000,07/13,330
155,[],[],평균,[],2000,07/14,330
156,[],[],평균,[],2000,07/15,330
157,[],[],평균,[],2000,07/18,330
158,[],[],평균,[],2000,07/19,330
159,[],[],평균,[],2000,07/21,350
160,[],[],평균,[],2000,07/22,350
161,[],[],평균,[],2000,07/24,350
162,[],[],평균,[],2000,07/25,350
163,[],[],평균,[],2000,07/26,350
164,[],[],평균,[],2000,07/27,350
165,[],[],평균,[],2000,07/28,350
166,[],[],평균,[],2000,07/29,350
167,[],[],평균,[],2000,07/31,350
168,[],[],평균,[],2000,08/01,350
169,[],[],평균,[],2000,08/02,350
170,[],[],평균,[],2000,08/03,350
171,[],[],평균,[],2000,08/04,350
172,[],[],평균,[],2000,08/05,350
173,[],[],평균,[],2000,08/07,400
174,[],[],평균,[],2000,08/08,400
175,[],[],평균,[],2000,08/09,400
176,[],[],평균,[],2000,08/10,400
177,[],[],평균,[],2000,08/11,400
178,[],[],평균,[],2000,08/12,400
179,[],[],평균,[],2000,08/14,400
180,[],[],평균,[],2000,08/16,400
181,[],[],평균,[],2000,08/17,400
182,[],[],평균,[],2000,08/18,400
183,[],[],평균,[],2000,08/19,400
184,[],[],평균,[],2000,08/21,450
185,[],[],평균,[],2000,08/22,450
186,[],[],평균,[],2000,08/23,450
187,[],[],평균,[],2000,08/24,450
188,[],[],평균,[],2000,08/25,450
189,[],[],평균,[],2000,08/26,450
190,[],[],평균,[],2000,08/28,450
191,[],[],평균,[],2000,08/29,450
192,[],[],평균,[],2000,08/30,450
193,[],[],평균,[],2000,08/31,450
194,[],[],평균,[],2000,09/01,450
195,[],[],평균,[],2000,09/02,450
196,[],[],평균,[],2000,09/04,450
197,[],[],평균,[],2000,09/05,450
198,[],[],평균,[],2000,09/06,450
199,[],[],평균,[],2000,09/07,450
200,[],[],평균,[],2000,09/08,450
201,[],[],평균,[],2000,09/09,450
202,[],[],평균,[],2000,09/14,450
203,[],[],평균,[],2000,09/15,450
204,[],[],평균,[],2000,09/16,450
205,[],[],평균,[],2000,09/18,450
206,[],[],평균,[],2000,09/19,450
207,[],[],평균,[],2000,09/20,450
208,[],[],평균,[],2000,09/21,450
209,[],[],평균,[],2000,09/22,450
210,[],[],평균,[],2000,09/23,450
211,[],[],평균,[],2000,09/25,450
212,[],[],평균,[],2000,09/26,450
213,[],[],평균,[],2000,09/27,450
214,[],[],평균,[],2000,09/28,450
215,[],[],평균,[],2000,09/29,450
216,[],[],평균,[],2000,09/30,450
217,[],[],평균,[],2000,10/02,450
218,[],[],평균,[],2000,10/04,450
219,[],[],평균,[],2000,10/05,450
220,[],[],평균,[],2000,10/06,450
221,[],[],평균,[],2000,10/07,450
222,[],[],평균,[],2000,10/09,450
223,[],[],평균,[],2000,10/10,450
224,[],[],평균,[],2000,10/11,450
225,[],[],평균,[],2000,10/12,450
226,[],[],평균,[],2000,10/13,450
227,[],[],평균,[],2000,10/14,450
228,[],[],평균,[],2000,10/17,450
229,[],[],평균,[],2000,10/18,450
230,[],[],평균,[],2000,10/19,450
231,[],[],평균,[],2000,10/20,450
232,[],[],평균,[],2000,10/21,450
233,[],[],평균,[],2000,10/23,450
234,[],[],평균,[],2000,10/24,450
235,[],[],평균,[],2000,10/25,450
236,[],[],평균,[],2000,10/26,450
237,[],[],평균,[],2000,10/27,450
238,[],[],평균,[],2000,10/28,450
239,[],[],평균,[],2000,10/30,450
240,[],[],평균,[],2000,10/31,450
241,[],[],평균,[],2000,11/01,450
242,[],[],평균,[],2000,11/02,450
243,[],[],평균,[],2000,11/03,500
244,[],[],평균,[],2000,11/04,500
245,[],[],평균,[],2000,11/06,500
246,[],[],평균,[],2000,11/07,550
247,[],[],평균,[],2000,11/08,550
248,[],[],평균,[],2000,11/09,550
249,[],[],평균,[],2000,11/10,550
250,[],[],평균,[],2000,11/11,550
251,[],[],평균,[],2000,11/13,550
252,[],[],평균,[],2000,11/14,550
253,[],[],평균,[],2000,11/15,550
254,[],[],평균,[],2000,11/16,550
255,[],[],평균,[],2000,11/17,550
256,[],[],평균,[],2000,11/18,550
257,[],[],평균,[],2000,11/20,550
258,[],[],평균,[],2000,11/21,550
259,[],[],평균,[],2000,11/22,550
260,[],[],평균,[],2000,11/23,550
261,[],[],평균,[],2000,11/24,550
262,[],[],평균,[],2000,11/25,550
263,[],[],평균,[],2000,11/27,600
264,[],[],평균,[],2000,11/28,600
265,[],[],평균,[],2000,11/29,600
266,[],[],평균,[],2000,11/30,600
267,[],[],평균,[],2000,12/01,600
268,[],[],평균,[],2000,12/02,600
269,[],[],평균,[],2000,12/04,600
270,[],[],평균,[],2000,12/05,600
271,[],[],평균,[],2000,12/06,600
272,[],[],평균,[],2000,12/07,600
273,[],[],평균,[],2000,12/08,600
274,[],[],평균,[],2000,12/09,600
275,[],[],평균,[],2000,12/11,600
276,[],[],평균,[],2000,12/12,600
277,[],[],평균,[],2000,12/13,600
278,[],[],평균,[],2000,12/14,600
279,[],[],평균,[],2000,12/15,600
280,[],[],평균,[],2000,12/16,600
281,[],[],평균,[],2000,12/18,600
282,[],[],평균,[],2000,12/19,600
283,[],[],평균,[],2000,12/20,600
284,[],[],평균,[],2000,12/21,600
285,[],[],평균,[],2000,12/22,600
286,[],[],평균,[],2000,12/23,600
287,[],[],평균,[],2000,12/26,600
288,[],[],평균,[],2000,12/27,600
289,[],[],평균,[],2000,12/28,600
290,[],[],평균,[],2000,12/29,600
291,[],[],평균,[],2000,12/30,600
292,[],[],평균,[],2001,01/02,600
293,[],[],평균,[],2001,01/03,600
294,[],[],평균,[],2001,01/04,600
295,[],[],평균,[],2001,01/05,600
296,[],[],평균,[],2001,01/06,600
297,[],[],평균,[],2001,01/08,600
298,[],[],평균,[],2001,01/09,600
299,[],[],평균,[],2001,01/10,600
300,[],[],평균,[],2001,01/11,600
301,[],[],평균,[],2001,01/12,600
302,[],[],평균,[],2001,01/13,600
303,[],[],평균,[],2001,01/15,600
304,[],[],평균,[],2001,01/16,600
305,[],[],평균,[],2001,01/17,600
306,[],[],평균,[],2001,01/18,600
307,[],[],평균,[],2001,01/19,600
308,[],[],평균,[],2001,01/20,600
309,[],[],평균,[],2001,01/22,600
310,[],[],평균,[],2001,01/26,600
311,[],[],평균,[],2001,01/27,600
312,[],[],평균,[],2001,01/29,600
313,[],[],평균,[],2001,01/30,600
314,[],[],평균,[],2001,01/31,600
315,[],[],평균,[],2001,02/01,600
316,[],[],평균,[],2001,02/02,600
317,[],[],평균,[],2001,02/03,600
318,[],[],평균,[],2001,02/05,600
319,[],[],평균,[],2001,02/06,600
320,[],[],평균,[],2001,02/07,600
321,[],[],평균,[],2001,02/08,600
322,[],[],평균,[],2001,02/09,600
323,[],[],평균,[],2001,02/10,600
324,[],[],평균,[],2001,02/12,600
325,[],[],평균,[],2001,02/13,600
326,[],[],평균,[],2001,02/14,600
327,[],[],평균,[],2001,02/15,600
328,[],[],평균,[],2001,02/16,600
329,[],[],평균,[],2001,02/17,600
330,[],[],평균,[],2001,02/19,600
331,[],[],평균,[],2001,02/20,600
332,[],[],평균,[],2001,02/21,600
333,[],[],평균,[],2001,02/22,600
334,[],[],평균,[],2001,02/23,650
335,[],[],평균,[],2001,02/24,650
336,[],[],평균,[],2001,02/26,650
337,[],[],평균,[],2001,02/27,650
338,[],[],평균,[],2001,02/28,650
339,[],[],평균,[],2001,03/02,650
340,[],[],평균,[],2001,03/03,650
341,[],[],평균,[],2001,03/05,650
342,[],[],평균,[],2001,03/06,650
343,[],[],평균,[],2001,03/07,650
344,[],[],평균,[],2001,03/08,650
345,[],[],평균,[],2001,03/09,650
346,[],[],평균,[],2001,03/10,650
347,[],[],평균,[],2001,03/12,650
348,[],[],평균,[],2001,03/13,650
349,[],[],평균,[],2001,03/14,650
350,[],[],평균,[],2001,03/15,680
351,[],[],평균,[],2001,03/16,680
